Indicator,Country,Year,Value
"Mortality caused by road traffic injury (per 100,000 people)","Isle of Man","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Isle of Man","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Israel","2013","3.6"
"Mortality caused by road traffic injury (per 100,000 people)","Israel","2016","4.2"
"Mortality caused by road traffic injury (per 100,000 people)","Italy","2013","6.1"
"Mortality caused by road traffic injury (per 100,000 people)","Italy","2016","5.6"
"Mortality caused by road traffic injury (per 100,000 people)","Jamaica","2013","11.5"
"Mortality caused by road traffic injury (per 100,000 people)","Jamaica","2016","13.6"
"Mortality caused by road traffic injury (per 100,000 people)","Japan","2013","4.7"
"Mortality caused by road traffic injury (per 100,000 people)","Japan","2016","4.1"
"Mortality caused by road traffic injury (per 100,000 people)","Jordan","2013","26.3"
"Mortality caused by road traffic injury (per 100,000 people)","Jordan","2016","24.4"
"Mortality caused by road traffic injury (per 100,000 people)","Kazakhstan","2013","24.2"
"Mortality caused by road traffic injury (per 100,000 people)","Kazakhstan","2016","17.6"
"Mortality caused by road traffic injury (per 100,000 people)","Kenya","2013","29.1"
"Mortality caused by road traffic injury (per 100,000 people)","Kenya","2016","27.8"
"Mortality caused by road traffic injury (per 100,000 people)","Kiribati","2013","2.9"
"Mortality caused by road traffic injury (per 100,000 people)","Kiribati","2016","4.4"
"Mortality caused by road traffic injury (per 100,000 people)","Korea, Dem. People’s Rep.","2013","20.8"
"Mortality caused by road traffic injury (per 100,000 people)","Korea, Dem. People’s Rep.","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Korea, Rep.","2013","12"
"Mortality caused by road traffic injury (per 100,000 people)","Korea, Rep.","2016","9.8"
"Mortality caused by road traffic injury (per 100,000 people)","Kosovo","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Kosovo","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Kuwait","2013","18.7"
"Mortality caused by road traffic injury (per 100,000 people)","Kuwait","2016","17.6"
"Mortality caused by road traffic injury (per 100,000 people)","Kyrgyz Republic","2013","22"
"Mortality caused by road traffic injury (per 100,000 people)","Kyrgyz Republic","2016","15.4"
"Mortality caused by road traffic injury (per 100,000 people)","Lao PDR","2013","14.3"
